uid,domainID,siteID,namedLocation,aquaticSiteType,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,geodeticDatum,startDate,endDate,reachID,samplingProtocolVersion,samplingImpractical,reachCondition,measuredReachLength,fixedRandomReach,identifiedBy,aCollectedBy,bCollectedBy,cCollectedBy,remarks
"b1eefd51-3e68-405b-84bd-54fc3e286389","D06","KING","KING.AOS.fish.point.01","stream",39.105915,-96.605923,0.1,324.7,0.1,"WGS84","2021-04-29","2021-04-29","KING.20210429.01","NEON.DOC.001295vF",,"normal flow",130.0,"fixed","0000-0001-7163-2310","0000-0002-4565-0256","0000-0001-5860-1210","0000-0002-9241-5582",
"92103ffc-19c7-4161-b658-ad9950054ccc","D06","KING","KING.AOS.fish.point.05","stream",39.105451,-96.604012,0.1,326.1,0.1,"WGS84","2021-04-30","2021-04-30","KING.20210430.05","NEON.DOC.001295vG","logistical",,,"random","0000-0001-7163-2310","0000-0003-0811-8364","0000-0001-6709-8856","0000-0002-1491-0369","We were unable to complete this transect due to staffing limitations"
"c5455f9d-1e6f-455d-a847-8d4693198a35","D06","KING","KING.AOS.fish.point.06","stream",39.105134,-96.603784,0.1,325.4,0.1,"WGS84","2021-04-30","2021-04-30","KING.20210430.06","NEON.DOC.001295vG","logistical",,,"random","0000-0001-7163-2310","0000-0003-0811-8364","0000-0001-6709-8856","0000-0002-1491-0369","We were unable to complete this transect due to staffing limitations"
"6ddd38a3-15aa-4aa8-a86e-50974d9c7cc2","D06","KING","KING.AOS.fish.point.04","stream",39.105785,-96.604701,0.1,325.7,0.1,"WGS84","2021-04-30","2021-04-30","KING.20210430.04","NEON.DOC.001295vG","logistical",,,"fixed","0000-0001-7163-2310","0000-0003-0811-8364","0000-0001-6709-8856","0000-0002-1491-0369","We were unable to complete this transect due to staffing limitations"
"cc5633a5-6169-40bb-bbeb-3653fd9c96dc","D06","KING","KING.AOS.fish.point.03","stream",39.106219,-96.604413,0.1,325.1,0.1,"WGS84","2021-04-30","2021-04-30","KING.20210430.03","NEON.DOC.001295vG","logistical",,,"fixed","0000-0001-7163-2310","0000-0003-0811-8364","0000-0001-6709-8856","0000-0002-1491-0369","We were unable to complete this transect due to staffing limitations"
"a6be1329-de7a-4282-832a-1e3ebf6b5856","D06","KING","KING.AOS.fish.point.02","stream",39.105694,-96.605124,0.1,324.9,0.1,"WGS84","2021-04-30","2021-04-30","KING.20210430.02","NEON.DOC.001295vG","logistical",,,"random","0000-0001-7163-2310","0000-0003-0811-8364","0000-0001-6709-8856","0000-0002-1491-0369","We were unable to complete this transect due to staffing limitations"
